instance_type,vcpus,memory,dbus
r6i.16xlarge,64,512,16.32
r6i.24xlarge,96,768,24.48
r6i.32xlarge,128,1024,32.64
r6id.large,2,16,0.51
r6id.xlarge,4,32,1.02
r6id.2xlarge,8,64,2.04
r6id.4xlarge,16,128,4.08
r6id.8xlarge,32,256,8.16
r6id.12xlarge,48,384,12.24
r6id.16xlarge,64,512,16.32
r6id.24xlarge,96,768,24.48
r6id.32xlarge,128,1024,32.64
r6idn.large,2,16,0.51
r6idn.xlarge,4,32,1.02
r6idn.2xlarge,8,64,2.04
r6idn.4xlarge,16,128,4.08
r6idn.8xlarge,32,256,8.16
r6idn.12xlarge,48,384,12.24
r6idn.16xlarge,64,512,16.32
r6idn.24xlarge,96,768,24.48
r6idn.32xlarge,128,1024,32.64
r6in.large,2,16,0.51
r6in.xlarge,4,32,1.02
r6in.2xlarge,8,64,2.04
r6in.4xlarge,16,128,4.08
r6in.8xlarge,32,256,8.16
r6in.12xlarge,48,384,12.24
r6in.16xlarge,64,512,16.32
r6in.24xlarge,96,768,24.48
r6in.32xlarge,128,1024,32.64
r7g.large,2,16,0.63
r7g.xlarge,4,32,1.26
r7g.2xlarge,8,64,2.52
r7g.4xlarge,16,128,5.04
r7g.8xlarge,32,256,10.08
r7g.12xlarge,48,384,15.12
r7g.16xlarge,64,512,20.16
r7gd.large,2,16,0.63
r7gd.xlarge,4,32,1.26
r7gd.2xlarge,8,64,2.52
r7gd.4xlarge,16,128,5.04
r7gd.8xlarge,32,256,10.08
r7gd.12xlarge,48,384,15.12
r7gd.16xlarge,64,512,20.16
z1d.large,2,16,0.66
z1d.xlarge,4,32,1.33
z1d.2xlarge,8,64,2.66
z1d.3xlarge,12,96,3.99
z1d.6xlarge,24,192,7.97
z1d.12xlarge,48,384,15.94
i2.xlarge,4,31,1.5
i2.2xlarge,8,61,3
i2.4xlarge,16,122,6
i2.8xlarge,32,244,12
i3.large,2,15,0.75
i3.xlarge,4,31,1
i3.2xlarge,8,61,2
i3.4xlarge,16,122,4
i3.8xlarge,32,244,8
i3.16xlarge,64,488,16
i3en.large,2,16,0.75
i3en.xlarge,4,32,1.45
i3en.2xlarge,8,64,2.9
i3en.3xlarge,12,96,4.35
i3en.6xlarge,24,192,8.7
i3en.12xlarge,48,384,17.4
i3en.24xlarge,96,768,34.8
i4i.large,2,16,0.69
i4i.xlarge,4,32,1.38
i4i.2xlarge,8,64,2.75
i4i.4xlarge,16,128,5.5
i4i.8xlarge,32,256,11
i4i.16xlarge,64,512,22
i4i.32xlarge,128,1024,44
